start_time,end_time,lyric,vocal1,vocal2,duration,song_name,song_year
"00:01:43,260","00:01:45,980",haru jongil meokkiman haneunde,Jihyo,,2.72,TT,2016
"00:01:45,500","00:01:48,240", ireodaga jichilkka bwa geokjeongdwegin hago,Chaeyoung,,2.74,CheerUp,2016
"00:01:45,980","00:01:48,840",maemmaemaemae amu joedo eomneun,Chaeyoung,,2.86,TT,2016
"00:01:48,240","00:01:50,988",an geureomyeon naega deo,Dahyun,,2.748,CheerUp,2016
"00:01:48,980","00:01:52,460",inhyeongman ttaejji,Dahyun,,3.48,TT,2016
"00:01:50,988","00:01:53,623", ppajil kkeonman gateo ppajil kkeonman gateo,Dahyun,,2.635,CheerUp,2016
"00:01:52,460","00:01:54,320",pibuneun wae ireoke tto chikchik,Chaeyoung,,1.86,TT,2016
"00:01:53,623","00:01:56,889",Oh a dapjangeul motaejweoseo mianhae,Tzuyu,,3.266,CheerUp,2016
"00:01:54,320","00:01:56,200",tahan ainult kurta,Dahyun,,1.88,TT,2016
"00:01:56,200","00:02:00,460",ema gwichange gyesok waewaewaewaewae,Chaeyoung,Dahyun,4.26,TT,2016
"00:01:56,889","00:01:59,602",chingureul mannaneura Shy shy shy,Sana,,2.713,CheerUp,2016
"00:01:59,602","00:02:02,753",mannagin jom geureoku mianhae,Tzuyu,,3.151,CheerUp,2016
"00:02:00,660","00:02:06,740",Nanana nananana konnoraega naodaga nado mollae,Sana,,6.08,TT,2016
"00:02:02,753","00:02:04,882",jom itta yeollakalkke Later,Sana,,2.129,CheerUp,2016
"00:02:04,882","00:02:07,641",joreuji ma eodi gaji ana,Momo,,2.759,CheerUp,2016
"00:02:06,800","00:02:09,440",nunmul nal kkeot gatae anin geot gatae ,Momo,,2.64,TT,2016
"00:02:07,641","00:02:10,339", dweeo julkke neoye Baby,Momo,,2.698,CheerUp,2016
"00:02:09,560","00:02:12,220", ireon aega aninde,Momo,,2.66,TT,2016
"00:02:10,339","00:02:13,242",neomu ppallin shireo seongereul deo boyeo,Jeongyeon,,2.903,CheerUp,2016
"00:02:13,242","00:02:15,917", naega neol gidaryeo julkke,Jeongyeon,,2.675,CheerUp,2016
